"zip_code","lat","lon"
"02149",42.4098,-71.0513
"02150",42.3966,-71.0338
"02151",42.4116,-71.0039
"02152",42.3791,-70.982
"02153",42.4038,-71.1196
"02154",42.3824,-71.2363
"02155",42.4192,-71.109
"02156",42.4213,-71.1334
"02158",42.3137,-71.2122
"02159",42.332,-71.1884
"02163",42.3653,-71.1203
"02169",42.25,-71.0007
"02170",42.2687,-71.0178
"02171",42.2838,-71.0249
"02172",42.3633,-71.1825
"02174",42.4145,-71.1527
"02176",42.4576,-71.0597
"02178",42.3856,-71.1845
"02180",42.4813,-71.0986
"02181",42.2943,-71.2742
"02184",42.209,-71.0003
"02185",42.2025,-71.0011
"02186",42.2523,-71.073
"02187",42.2699,-71.0677
"02188",42.2036,-70.9565
"02189",42.2143,-70.9297
"02190",42.1698,-70.9462
"02191",42.2427,-70.9424
"02196",42.356,-71.0573
"02199",42.3484,-71.0835
"02201",42.3611,-71.0575
"02203",42.3617,-71.0599
"02204",42.396,-71.0499
"02205",42.3499,-71.0538
"02206",42.3956,-71.0507
"02210",42.3492,-71.0444
"02211",42.3575,-71.0576
"02212",42.3575,-71.0568
"02214",42.3668,-71.0689
"02215",42.3459,-71.1025
"02217",42.3493,-71.0745
"02222",42.3649,-71.0623
"02238",42.3733,-71.1229
"02239",42.1478,-70.8792
"02241",42.3544,-71.0566
"02245",42.3133,-71.1354
"02254",33.5332,-115.9361
"02269",42.2512,-71.0018
"02271",41.8355,-71.3331
"02283",42.3483,-71.0548
"02284",42.3483,-71.0549
"02293",42.3488,-71.0545
"02297",42.3488,-71.0545
"02298",42.3485,-71.0547
"02301",42.0754,-71.0365
"02302",42.0821,-71.0017
"02303",42.082,-71.0152
"02304",42.0633,-71.0153
"02305",42.1016,-71.0329
"02318",42.3705,-71.1135
"02322",42.1295,-71.0462
"02324",41.9842,-70.9669
"02325",41.9924,-70.9624
"02327",42.0433,-70.841
"02330",41.886,-70.7669
"02331",42.0379,-70.6717
"02332",42.0359,-70.7132
"02333",42.0293,-70.9438
"02334",42.0667,-71.0889
"02337",42.0138,-70.9617
"02338",42.0006,-70.8553
"02339",42.1254,-70.8494
"02341",42.0552,-70.8747
"02343",42.1524,-71.0107
"02344",41.9041,-70.9596
"02345",41.9157,-70.5548
"02346",41.8922,-70.9053
"02347",41.8342,-70.9576
"02348",41.8758,-70.9452
"02349",41.8966,-70.9662
"02350",42.0289,-70.8438
"02351",42.1132,-70.9507
"02355",41.9221,-70.779
"02356",42.0594,-71.1102
"02357",42.0656,-71.0871
"02358",42.0933,-70.793
"02359",42.0669,-70.8039
"02360",41.8962,-70.6388
"02361",41.9557,-70.6638
"02362",41.9263,-70.6563
"02364",41.991,-70.7293
"02366",41.8429,-70.7443
"02367",41.9521,-70.8138
"02368",42.1722,-71.0481
"02370",42.1297,-70.9127
"02371",42.1316,-70.9143
"02375",42.0261,-71.0885
"02379",42.0165,-71.0256
"02381",41.9325,-70.5625
"02382",42.0832,-70.9395
"02404",42.2932,-71.235
"02405",36.7634,-80.0243
"02420",42.4514,-71.2243
"02421",42.4381,-71.2386
"02426",42.3302,-71.2547
"02428",42.3099,-71.3018
"02445",42.3371,-71.1319
"02446",42.342,-71.1219
"02447",42.3324,-71.1183
"02451",42.3924,-71.2494
"02452",42.3947,-71.2253
"02453",42.371,-71.2395
"02454",42.3762,-71.2413
"02455",42.4046,-71.234
"02456",42.3606,-71.1861
"02457",42.3,-71.264
"02458",42.3528,-71.1889
"02459",42.3224,-71.1923
"02460",42.3529,-71.2078
"02461",42.3203,-71.2086
"02462",42.327,-71.2559
"02464",42.3107,-71.2185
"02465",42.3498,-71.2264
"02466",42.3457,-71.2446
"02467",42.3215,-71.1658
"02468",42.326,-71.23
"02471",42.3673,-71.1874
"02472",42.3716,-71.1812
"02474",42.4195,-71.1545
"02475",42.4244,-71.1829
"02476",42.4181,-71.1705
"02477",42.367,-71.2025
"02478",42.3956,-71.1745
"02479",42.3876,-71.1908
"02481",42.3114,-71.2742
"02482",42.2972,-71.2966
"02492",42.2781,-71.2323
"02493",42.3656,-71.3039
"02494",42.2999,-71.2313
"02495",42.361,-71.2001
"02506",41.8075,-70.7584
"02507",38.4383,-81.446
"02525",41.3431,-70.812
"02531",41.7803,-70.5444
"02532",41.7483,-70.6143
"02534",41.6664,-70.6134
"02535",41.3544,-70.7342
"02536",41.5828,-70.5614
"02537",41.7309,-70.4351
"02538",41.78,-70.6507
"02539",41.3844,-70.5283
"02540",41.5576,-70.6203
"02541",41.5532,-70.618
"02542",41.661,-70.5713
"02543",41.5299,-70.664
"02552",41.3511,-70.765
"02553",41.698,-70.6178
"02554",41.2727,-70.0928
"02556",41.6392,-70.6201
"02557",41.452,-70.5555
"02558",41.7455,-70.6574
"02559",41.6945,-70.6108
"02560",41.7941,-70.5961
"02561",41.7733,-70.5393
"02562",41.796,-70.5301
"02563",41.7345,-70.477
"02564",41.2724,-69.9638
"02568",41.4411,-70.6132
"02571",41.7532,-70.7141
"02574",41.5869,-70.6343
"02575",41.3954,-70.6412
"02576",41.7818,-70.7673
"02579",41.791,-70.7513
"02584",41.2714,-70.0908
"02586",41.4533,-70.5959
"02601",41.6534,-70.2975
"02630",41.7014,-70.303
"02631",41.7536,-70.069
"02632",41.6629,-70.3483
"02633",41.6853,-69.9793
"02634",41.657,-70.3478
"02635",41.6249,-70.4371
"02637",41.7018,-70.2739
"02638",41.7387,-70.1915
"02639",41.6642,-70.1315
"02641",41.7428,-70.1605
"02642",41.8359,-69.986
"02643",41.7848,-69.9661
"02644",41.6899,-70.5088
"02645",41.6957,-70.0528
"02646",41.6695,-70.0749
"02647",41.6324,-70.303
"02648",41.6684,-70.4187
"02649",41.6111,-70.4888
"02650",41.6988,-69.9632
"02651",41.8551,-69.9834
"02652",42.028,-70.0887
"02653",41.7761,-69.9815
"02655",41.6292,-70.3871
"02657",42.0515,-70.1863
"02659",41.6814,-70.0214
"02660",41.7057,-70.162
"02661",41.6787,-70.0426
"02662",41.7557,-69.9905
"02663",41.9159,-69.9882
"02664",41.6736,-70.1983
"02666",42.0134,-70.0678
"02667",41.9257,-70.0186
"02668",41.6949,-70.3714
"02669",41.6852,-70.0024
"02670",41.6613,-70.1693
"02671",41.6652,-70.1056
"02672",41.6392,-70.3191
"02673",41.6575,-70.2405
"02675",41.7013,-70.2262
"02693",18.4332,-66.3581
"02702",41.7942,-71.0592
"02703",41.9316,-71.3009
"02712",41.9513,-71.2351
"02713",41.4211,-70.9288
"02714",41.5982,-70.9419
"02715",41.8278,-71.143
"02717",41.7624,-70.95
"02718",41.8587,-71.0232
"02719",41.6372,-70.8794
"02720",41.7199,-71.1392
"02721",41.6872,-71.1565
"02722",41.7005,-71.1541
"02723",41.6935,-71.1332
"02724",41.684,-71.1727
"02725",41.7259,-71.177
